id;type;name;capex_base;capex_auto_base;consumption;akt_base;avg_speed;wage_factor;bat_cap;price_kwh_base
1;ICT;01_ICT_Manual_Multi;150000;0;35;160000;80;1;;
2;ICT;02_ICT_L4_Multi;150000;30824,24;35;327680;80;1;;
3;ICT;03_ICT_L4_Optim;100000;30824,24;35;468480;80;1;;
4;ICT;04_ICT_L5_Optim;100000;36989,09;35;468480;80;1;;
5;BET;05_BET_Manual_Multi;191314,8;0;140;160000;80;1;780;139,34
6;BET;06_BET_L4_Multi;191314,8;30824,24;140;327680;80;1;780;139,34
7;BET;07_BET_L4_Optim_EE;141314,8;30824,24;140;163840;80;1;780;139,34
8;BET;08_BET_L4_Optim_UO;141314,8;30824,24;140;468480;80;1;780;139,34
9;BET;09_BET_L4_Optim_RO;146314,8;30824,24;140;100000;80;1;780;139,34
10;BET;10_BET_L5_Optim_EE;141314,8;36989,09;140;163840;80;1;780;139,34
11;BET;11_BET_L5_Optim_UO;141314,8;36989,09;140;468480;80;1;780;139,34
12;BET;12_BET_L5_Optim_RO;146314,8;36989,09;140;100000;80;1;780;139,34
